Team,Year,Split,Role,Player
100 Thieves,2023,Summer,TOP,ssumday
100 Thieves,2023,Summer,JUNGLE,Closer
100 Thieves,2023,Summer,MID,Quid
100 Thieves,2023,Summer,BOT,Doublelift
100 Thieves,2023,Summer,SUPPORT,Busio
100 Thieves,2023,Summer,MID,Nukeduck
Cloud9,2023,Summer,TOP,Fudge
Cloud9,2023,Summer,JUNGLE,Blaber
Cloud9,2023,Summer,MID,EMENES
Cloud9,2023,Summer,BOT,Berserker
Cloud9,2023,Summer,SUPPORT,Zven
Dignitas,2023,Summer,TOP,Rich
Dignitas,2023,Summer,JUNGLE,Santorin
Dignitas,2023,Summer,MID,Jensen
Dignitas,2023,Summer,BOT,Tomo
Dignitas,2023,Summer,SUPPORT,Poome
Dignitas,2023,Summer,SUPPORT,Diamond
Evil Geniuses,2023,Summer,TOP,Revenge
Evil Geniuses,2023,Summer,JUNGLE,Sheiden
Evil Geniuses,2023,Summer,MID,jojopyun
Evil Geniuses,2023,Summer,BOT,UNF0RGIVEN
Evil Geniuses,2023,Summer,SUPPORT,Eyla
Evil Geniuses,2023,Summer,JUNGLE,Armao
FlyQuest,2023,Summer,TOP,Impact
FlyQuest,2023,Summer,JUNGLE,Spica
FlyQuest,2023,Summer,MID,Vicla
FlyQuest,2023,Summer,BOT,Prince
FlyQuest,2023,Summer,SUPPORT,Vulcan
FlyQuest,2023,Summer,MID,Spirax
Golden Guardians,2023,Summer,TOP,Licorice
Golden Guardians,2023,Summer,JUNGLE,River
Golden Guardians,2023,Summer,MID,Gori
Golden Guardians,2023,Summer,BOT,Stixxay
Golden Guardians,2023,Summer,SUPPORT,Huhi
Immortals,2023,Summer,TOP,solo
Immortals,2023,Summer,JUNGLE,Kenvi
Immortals,2023,Summer,MID,Bolulu
Immortals,2023,Summer,BOT,Tactical
Immortals,2023,Summer,SUPPORT,Treatz
NRG,2023,Summer,TOP,Dhokla
NRG,2023,Summer,JUNGLE,Contractz
NRG,2023,Summer,MID,Palafox
NRG,2023,Summer,BOT,FBI
NRG,2023,Summer,SUPPORT,IgNar
Team Liquid,2023,Summer,TOP,Summit
Team Liquid,2023,Summer,JUNGLE,Pyosik
Team Liquid,2023,Summer,MID,APA
Team Liquid,2023,Summer,BOT,Yeon
Team Liquid,2023,Summer,SUPPORT,CoreJJ
Team Liquid,2023,Summer,MID,Haeri
TSM,2023,Summer,TOP,Hauntzer
TSM,2023,Summer,JUNGLE,Bugi
TSM,2023,Summer,MID,Insanity
TSM,2023,Summer,BOT,WildTurtle
TSM,2023,Summer,SUPPORT,Chime
TSM,2023,Summer,MID,Ruby
100 Thieves,2023,Spring,TOP,Tenacity
100 Thieves,2023,Spring,JUNGLE,Closer
100 Thieves,2023,Spring,MID,Bjergsen
100 Thieves,2023,Spring,BOT,Doublelift
100 Thieves,2023,Spring,SUPPORT,Busio
CLG,2023,Spring,TOP,Dhokla
CLG,2023,Spring,JUNGLE,Contractz
CLG,2023,Spring,MID,Palafox
CLG,2023,Spring,BOT,Luger
CLG,2023,Spring,SUPPORT,Poome
Cloud9,2023,Spring,TOP,Fudge
Cloud9,2023,Spring,JUNGLE,Blaber
Cloud9,2023,Spring,MID,EMENES
Cloud9,2023,Spring,BOT,Berserker
Cloud9,2023,Spring,SUPPORT,Zven
Cloud9,2023,Spring,MID,Diplex
Dignitas,2023,Spring,TOP,Armut
Dignitas,2023,Spring,JUNGLE,Santorin
Dignitas,2023,Spring,MID,Jensen
Dignitas,2023,Spring,BOT,Tomo
Dignitas,2023,Spring,SUPPORT,IgNar
Dignitas,2023,Spring,BOT,Spawn
Dignitas,2023,Spring,SUPPORT,Biofrost
Evil Geniuses,2023,Spring,TOP,ssumday
Evil Geniuses,2023,Spring,JUNGLE,Inspired
Evil Geniuses,2023,Spring,MID,jojopyun
Evil Geniuses,2023,Spring,BOT,FBI
Evil Geniuses,2023,Spring,SUPPORT,Vulcan
Evil Geniuses,2023,Spring,MID,Ryoma
FlyQuest,2023,Spring,TOP,Impact
FlyQuest,2023,Spring,JUNGLE,Spica
FlyQuest,2023,Spring,MID,Vicla
FlyQuest,2023,Spring,BOT,Prince
FlyQuest,2023,Spring,SUPPORT,Eyla
FlyQuest,2023,Spring,SUPPORT,Winsome
Golden Guardians,2023,Spring,TOP,Licorice
Golden Guardians,2023,Spring,JUNGLE,River
Golden Guardians,2023,Spring,MID,Gori
Golden Guardians,2023,Spring,BOT,Stixxay
Golden Guardians,2023,Spring,SUPPORT,Huhi
Golden Guardians,2023,Spring,MID,Young
Immortals,2023,Spring,TOP,Revenge
Immortals,2023,Spring,JUNGLE,Kenvi
Immortals,2023,Spring,MID,Bolulu
Immortals,2023,Spring,BOT,Tactical
Immortals,2023,Spring,SUPPORT,Fleshy
Immortals,2023,Spring,MID,Ablazeolive
Team Liquid,2023,Spring,TOP,Summit
Team Liquid,2023,Spring,JUNGLE,Pyosik
Team Liquid,2023,Spring,MID,Haeri
Team Liquid,2023,Spring,BOT,Yeon
Team Liquid,2023,Spring,SUPPORT,CoreJJ
TSM,2023,Spring,TOP,Hauntzer
TSM,2023,Spring,JUNGLE,Bugi
TSM,2023,Spring,MID,Maple
TSM,2023,Spring,BOT,WildTurtle
TSM,2023,Spring,SUPPORT,Chime
TSM,2023,Spring,TOP,solo
TSM,2023,Spring,BOT,Neo
100 Thieves,2022,Summer,TOP,ssumday
100 Thieves,2022,Summer,JUNGLE,Closer
100 Thieves,2022,Summer,MID,Abbedagge
100 Thieves,2022,Summer,BOT,Huhi
100 Thieves,2022,Summer,SUPPORT,FBI
100 Thieves,2022,Summer,BOT,FBI
100 Thieves,2022,Summer,SUPPORT,Huhi
CLG,2022,Summer,TOP,Dhokla
CLG,2022,Summer,JUNGLE,Contractz
CLG,2022,Summer,MID,Palafox
CLG,2022,Summer,BOT,Luger
CLG,2022,Summer,SUPPORT,Poome
CLG,2022,Summer,BOT,Poome
CLG,2022,Summer,SUPPORT,Luger
Cloud9,2022,Summer,TOP,Fudge
Cloud9,2022,Summer,JUNGLE,Blaber
Cloud9,2022,Summer,MID,Jensen
Cloud9,2022,Summer,BOT,Berserker
Cloud9,2022,Summer,SUPPORT,Zven
Cloud9,2022,Summer,BOT,Destiny
Cloud9,2022,Summer,BOT,k1ng
Cloud9,2022,Summer,SUPPORT,k1ng
Cloud9,2022,Summer,SUPPORT,Destiny
Dignitas,2022,Summer,TOP,Hoon
Dignitas,2022,Summer,JUNGLE,eXyu
Dignitas,2022,Summer,MID,Blue
Dignitas,2022,Summer,BOT,Spawn
Dignitas,2022,Summer,SUPPORT,Biofrost
Dignitas,2022,Summer,TOP,Gamsu
Dignitas,2022,Summer,JUNGLE,River
Dignitas,2022,Summer,BOT,Biofrost
Dignitas,2022,Summer,BOT,Neo
Dignitas,2022,Summer,SUPPORT,Neo
Evil Geniuses,2022,Summer,TOP,Impact
Evil Geniuses,2022,Summer,JUNGLE,Inspired
Evil Geniuses,2022,Summer,MID,jojopyun
Evil Geniuses,2022,Summer,BOT,Danny
Evil Geniuses,2022,Summer,SUPPORT,Vulcan
Evil Geniuses,2022,Summer,BOT,Vulcan
Evil Geniuses,2022,Summer,SUPPORT,Danny
FlyQuest,2022,Summer,TOP,Philip
FlyQuest,2022,Summer,JUNGLE,Josedeodo
FlyQuest,2022,Summer,MID,Toucouille
