Team,Year,Split,Role,Player
Anyone s Legend,2023,Summer,TOP,Zdz
Anyone s Legend,2023,Summer,JUNGLE,Xiaohao
Anyone s Legend,2023,Summer,MID,Harder
Anyone s Legend,2023,Summer,BOT,zhiqiuyi
Anyone s Legend,2023,Summer,SUPPORT,Zorah
Anyone s Legend,2023,Summer,MID,Pinz
Anyone s Legend,2023,Summer,BOT,iBOY
Bilibili Gaming,2023,Summer,TOP,Bin
Bilibili Gaming,2023,Summer,JUNGLE,XUN
Bilibili Gaming,2023,Summer,MID,Yagao
Bilibili Gaming,2023,Summer,BOT,Elk
Bilibili Gaming,2023,Summer,SUPPORT,ON
Edward Gaming,2023,Summer,TOP,Ale
Edward Gaming,2023,Summer,JUNGLE,Jiejie
Edward Gaming,2023,Summer,MID,Fisher
Edward Gaming,2023,Summer,BOT,Uzi
Edward Gaming,2023,Summer,SUPPORT,meiko
Edward Gaming,2023,Summer,MID,FoFo
Edward Gaming,2023,Summer,BOT,Leave
Edward Gaming,2023,Summer,BOT,Thesnake
Funplus Phoenix,2023,Summer,TOP,Xiaolaohu
Funplus Phoenix,2023,Summer,JUNGLE,H4cker
Funplus Phoenix,2023,Summer,MID,Care
Funplus Phoenix,2023,Summer,BOT,Lwx
Funplus Phoenix,2023,Summer,SUPPORT,Qiuqiu
Funplus Phoenix,2023,Summer,JUNGLE,Bonnie
Invictus Gaming,2023,Summer,TOP,YSKM
Invictus Gaming,2023,Summer,JUNGLE,Tianzhen
Invictus Gaming,2023,Summer,MID,Cryin
Invictus Gaming,2023,Summer,BOT,Ahn
Invictus Gaming,2023,Summer,SUPPORT,Wink
Invictus Gaming,2023,Summer,TOP,neny
Invictus Gaming,2023,Summer,TOP,Wen
Invictus Gaming,2023,Summer,JUNGLE,beishang
Invictus Gaming,2023,Summer,BOT,xiaoyueji
JD Gaming,2023,Summer,TOP,369
JD Gaming,2023,Summer,JUNGLE,Kanavi
JD Gaming,2023,Summer,MID,Knight
JD Gaming,2023,Summer,BOT,Ruler
JD Gaming,2023,Summer,SUPPORT,Missing
JD Gaming,2023,Summer,MID,Lzq
LGD Gaming,2023,Summer,TOP,Decade
LGD Gaming,2023,Summer,JUNGLE,Meteor
LGD Gaming,2023,Summer,MID,Haichao
LGD Gaming,2023,Summer,BOT,Lpc
LGD Gaming,2023,Summer,SUPPORT,jinjiao
LGD Gaming,2023,Summer,TOP,fearness
LGD Gaming,2023,Summer,BOT,Envyy
LNG Esports,2023,Summer,TOP,Zika
LNG Esports,2023,Summer,JUNGLE,Tarzan
LNG Esports,2023,Summer,MID,Scout
LNG Esports,2023,Summer,BOT,GALA
LNG Esports,2023,Summer,SUPPORT,Hang
Ninjas in Pyjamas,2023,Summer,TOP,invincible
Ninjas in Pyjamas,2023,Summer,JUNGLE,Shad0w
Ninjas in Pyjamas,2023,Summer,MID,Angel
Ninjas in Pyjamas,2023,Summer,BOT,Photic
Ninjas in Pyjamas,2023,Summer,SUPPORT,Zhuo
Ninjas in Pyjamas,2023,Summer,JUNGLE,XLB
OMG,2023,Summer,TOP,shanji
OMG,2023,Summer,JUNGLE,AKi
OMG,2023,Summer,MID,Creme
OMG,2023,Summer,BOT,Able
OMG,2023,Summer,SUPPORT,Ppgod
Rare Atom,2023,Summer,TOP,Xiaoxu
Rare Atom,2023,Summer,JUNGLE,Leyan
Rare Atom,2023,Summer,MID,Strive
Rare Atom,2023,Summer,BOT,Assum
Rare Atom,2023,Summer,SUPPORT,Baolan
Rare Atom,2023,Summer,MID,Mole
Rare Atom,2023,Summer,SUPPORT,Feather
Royal Never Give Up,2023,Summer,TOP,Breathe
Royal Never Give Up,2023,Summer,JUNGLE,Wei
Royal Never Give Up,2023,Summer,MID,Tangyuan
Royal Never Give Up,2023,Summer,BOT,LP
Royal Never Give Up,2023,Summer,SUPPORT,LvMao
Team WE,2023,Summer,TOP,Cube
Team WE,2023,Summer,JUNGLE,Heng
Team WE,2023,Summer,MID,Shanks
Team WE,2023,Summer,BOT,Hope
Team WE,2023,Summer,SUPPORT,Iwandy
Top Esports,2023,Summer,TOP,Wayward
Top Esports,2023,Summer,JUNGLE,Tian
Top Esports,2023,Summer,MID,RooKie
Top Esports,2023,Summer,BOT,JackeyLove
Top Esports,2023,Summer,SUPPORT,Mark
TT,2023,Summer,TOP,Hoya
TT,2023,Summer,JUNGLE,Beichuan
TT,2023,Summer,MID,Ucal
TT,2023,Summer,BOT,1xn
TT,2023,Summer,SUPPORT,yaoyao
TT,2023,Summer,JUNGLE,xiaohuangren
TT,2023,Summer,BOT,huanfeng
TT,2023,Summer,SUPPORT,yuyanjia
Ultra Prime,2023,Summer,TOP,Hery
Ultra Prime,2023,Summer,JUNGLE,Ning
Ultra Prime,2023,Summer,MID,Dream
Ultra Prime,2023,Summer,BOT,Doggo
Ultra Prime,2023,Summer,SUPPORT,SwordArt
Ultra Prime,2023,Summer,MID,Forge
Weibo Gaming,2023,Summer,TOP,TheShy
Weibo Gaming,2023,Summer,JUNGLE,WeiWei
Weibo Gaming,2023,Summer,MID,xiaohu
Weibo Gaming,2023,Summer,BOT,Light
Weibo Gaming,2023,Summer,SUPPORT,Crisp
Anyone s Legend,2023,Spring,TOP,Zdz
Anyone s Legend,2023,Spring,JUNGLE,Xiaohao
Anyone s Legend,2023,Spring,MID,Pinz
