Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Aiming,2023,Summer,34W - 6L,85%,9.1,10.5,508,26%,75.2%
Andil,2023,Summer,2W - 18L,10%,1.3,1.1,215,12.7%,64.9%
Bdd,2023,Summer,34W - 6L,85%,7.2,8.8,417,21.3%,69.9%
BeryL,2023,Summer,16W - 27L,37.2%,2.1,1.3,232,13.5%,68.2%
Bible,2023,Summer,8W - 5L,61.5%,2.8,1.1,238,12.9%,67.1%
Bulldog,2023,Summer,10W - 28L,26.3%,2.0,9.3,397,22.8%,66.8%
Burdol,2023,Summer,6W - 17L,26.1%,2.2,7.7,360,20.5%,51.5%
Canna,2023,Summer,24W - 16L,60%,2.9,8.1,388,20.9%,53.2%
Canyon,2023,Summer,24W - 16L,60%,4.2,6.2,355,19.1%,70.2%
Chovy,2023,Summer,32W - 7L,82.1%,7.0,9.5,431,21.9%,70.7%
Clear,2023,Summer,7W - 10L,41.2%,2.7,8.3,377,20.8%,52.7%
Clid,2023,Summer,10W - 5L,66.7%,3.8,6,351,19%,75.2%
Clozer,2023,Summer,13W - 27L,32.5%,2.9,9.7,420,23.7%,68.8%
Croco,2023,Summer,9W - 16L,36%,2.8,5.1,319,18.3%,73.1%
Cuzz,2023,Summer,34W - 6L,85%,6.9,5.9,362,18.5%,75.1%
Deft,2023,Summer,23W - 14L,62.2%,5.0,9.6,457,24.5%,71.8%
Delight,2023,Summer,32W - 7L,82.1%,6.2,1.2,255,13%,74.1%
DnDn,2023,Summer,13W - 30L,30.2%,1.6,8.2,363,20.9%,45.9%
Doran,2023,Summer,32W - 7L,82.1%,3.9,8.5,426,21.6%,55.3%
DuDu,2023,Summer,10W - 28L,26.3%,2.3,8.9,388,22.2%,59%
Effort,2023,Summer,15W - 30L,33.3%,2.6,1,226,12.9%,71.8%
FATE,2023,Summer,15W - 19L,44.1%,4.1,9.1,406,22.9%,68.7%
FIESTA,2023,Summer,10W - 21L,32.3%,2.7,8.3,387,22%,67.2%
Faker,2023,Summer,17W - 7L,70.8%,3.4,8.8,420,21.6%,63.3%
Feisty,2023,Summer,1W - 0L,100%,9.5,9.2,493,24.1%,82.6%
Grizzly,2023,Summer,17W - 9L,65.4%,4.0,5.5,345,18.1%,70.5%
Gumayusi,2023,Summer,21W - 21L,50%,4.6,10.7,475,25.5%,73.5%
HamBak,2023,Summer,1W - 0L,100%,17.0,6.1,369,18%,73.9%
Hena,2023,Summer,15W - 30L,33.3%,3.3,10,425,24.4%,68.9%
Hype,2023,Summer,1W - 0L,100%,7.3,9.6,510,24.9%,95.7%
Ivory,2023,Summer,3W - 7L,30%,1.4,9,368,21.5%,53.6%
Jiwoo,2023,Summer,11W - 25L,30.6%,2.4,10.1,442,25.2%,72.2%
