Year,Split,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
2023,Summer,100 Thieves,S13,NA,19,36.8%,0.78,1759,-88,31:21,9.3,12.0,5.2,6.8,42.1,36.8,2.21,49.7,0.74,36.8,1.00,-0.2,-938,4.26,0.74,50.9,33.8,1916,3.2,1.09,1.45
2023,Summer,Cloud9,S13,NA,19,73.7%,1.60,1974,262,28:03,14.3,8.9,7.4,3.8,52.6,52.6,2.37,61.8,1.26,63.2,1.11,-0.2,1226,5.21,0.79,72.2,35.0,2254,3.2,1.00,1.44
2023,Summer,Dignitas,S13,NA,19,42.1%,0.75,1780,-123,33:09,12.2,16.2,5.4,7.3,42.1,47.4,2.11,43.6,0.95,47.4,0.42,-0.1,-972,4.53,0.58,31.6,32.5,2195,3.1,1.17,1.63
2023,Summer,Evil Geniuses,S13,NA,18,66.7%,1.24,1904,120,28:56,14.1,11.4,7.1,4.7,44.4,61.1,2.22,57.6,1.17,58.3,1.00,-0.1,192,5.67,1.11,70.6,33.6,2264,3.1,1.21,1.33
2023,Summer,FlyQuest,S13,NA,18,33.3%,0.90,1768,-89,31:19,11.8,13.1,4.8,7.1,61.1,33.3,1.72,42.6,1.17,58.3,0.78,-0.1,74,4.72,0.61,36.1,32.0,2024,3.2,1.29,1.35
2023,Summer,Golden Guardians,S13,NA,19,68.4%,1.30,1904,148,32:20,15.3,11.7,7.1,4.5,63.2,57.9,2.05,49.4,1.00,50.0,0.74,0.2,953,5.00,0.95,56.9,33.8,2363,3.3,1.24,1.48
2023,Summer,Immortals,S13,NA,18,27.8%,0.67,1704,-254,30:39,10.6,15.7,3.8,8.2,38.9,44.4,1.83,41.1,0.56,27.8,0.83,-0.2,-1768,3.22,0.44,28.4,31.6,2120,3.3,1.16,1.33
2023,Summer,NRG,S13,NA,18,50.0%,1.00,1801,-45,34:17,13.8,13.7,6.6,6.3,38.9,50.0,2.11,43.4,0.78,38.9,0.44,-0.1,-463,4.11,1.06,50.5,31.9,2241,3.6,1.35,1.42
2023,Summer,Team Liquid,S13,NA,18,55.6%,1.16,1907,162,32:33,14.8,12.8,7.6,5.1,61.1,77.8,2.72,63.9,1.44,72.2,1.11,0.8,2241,5.83,1.06,62.7,32.9,2542,3.3,1.34,1.56
2023,Summer,TSM,S13,NA,18,44.4%,0.94,1755,-105,30:16,11.3,12.1,5.1,6.4,55.6,38.9,2.11,46.6,0.94,47.2,0.83,-0.2,-561,4.22,0.56,41.2,32.5,1928,3.4,1.13,1.34
2023,Spring,100 Thieves,S13,NA,20,60.0%,1.21,1789,51,34:27,13.9,11.4,6.6,6.0,65.0,45.0,3.00,61.9,0.85,42.5,0.90,-0.3,-248,2.95,0.95,62.5,32.1,2288,2.3,1.17,1.58
2023,Spring,CLG,S13,NA,19,52.6%,0.96,1785,25,35:40,12.5,12.9,6.4,6.2,47.4,36.8,2.47,47.4,1.11,55.3,0.84,-0.1,228,4.58,0.89,58.8,32.9,2215,2.5,1.02,1.71
