Team,Year,Split,Role,Player
Astralis,2023,Summer,TOP,Finn
Astralis,2023,Summer,JUNGLE,113
Astralis,2023,Summer,MID,Lider
Astralis,2023,Summer,BOT,Kobbe
Astralis,2023,Summer,SUPPORT,Execute
Excel Esports,2023,Summer,TOP,Odoamne
Excel Esports,2023,Summer,JUNGLE,Peach
Excel Esports,2023,Summer,MID,Abbedagge
Excel Esports,2023,Summer,BOT,Patrik
Excel Esports,2023,Summer,SUPPORT,Limit
Fnatic,2023,Summer,TOP,Oscarinin
Fnatic,2023,Summer,JUNGLE,Razork
Fnatic,2023,Summer,MID,Humanoid
Fnatic,2023,Summer,BOT,Noah
Fnatic,2023,Summer,SUPPORT,Trymbi
G2 Esports,2023,Summer,TOP,Brokenblade
G2 Esports,2023,Summer,JUNGLE,Yike
G2 Esports,2023,Summer,MID,Caps
G2 Esports,2023,Summer,BOT,Hans sama
G2 Esports,2023,Summer,SUPPORT,Mikyx
KOI,2023,Summer,TOP,Szygenda
KOI,2023,Summer,JUNGLE,Malrang
KOI,2023,Summer,MID,Larssen
KOI,2023,Summer,BOT,Comp
KOI,2023,Summer,SUPPORT,Advienne
MAD Lions,2023,Summer,TOP,Chasy
MAD Lions,2023,Summer,JUNGLE,Elyoya
MAD Lions,2023,Summer,MID,Nisqy
MAD Lions,2023,Summer,BOT,Carzzy
MAD Lions,2023,Summer,SUPPORT,Hylissang
SK Gaming,2023,Summer,TOP,Irrelevant
SK Gaming,2023,Summer,JUNGLE,Markoon
SK Gaming,2023,Summer,MID,Sertuss
SK Gaming,2023,Summer,BOT,Exakick
SK Gaming,2023,Summer,SUPPORT,Doss
Team BDS,2023,Summer,TOP,Adam
Team BDS,2023,Summer,JUNGLE,Sheo
Team BDS,2023,Summer,MID,nuc
Team BDS,2023,Summer,BOT,Crownie
Team BDS,2023,Summer,SUPPORT,Labrov
Team BDS,2023,Summer,TOP,Agresivoo
Team Heretics,2023,Summer,TOP,Evi
Team Heretics,2023,Summer,JUNGLE,Jankos
Team Heretics,2023,Summer,MID,Vetheo
Team Heretics,2023,Summer,BOT,Flakked
Team Heretics,2023,Summer,SUPPORT,Mersa
Team Vitality,2023,Summer,TOP,Photon
Team Vitality,2023,Summer,JUNGLE,Daglas
