Year,Split,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
2023,Summer,Anyone s Legend,S13,CN,39,30.8%,0.76,1741,-165,31:04,10.8,14.2,4.3,7.4,43.6,25.6,2.00,45.9,-,-,-,-,-,-,0.59,35.9,32.7,1921,-,-,-
2023,Summer,Bilibili Gaming,S13,CN,37,81.1%,1.44,1987,255,30:10,17.9,12.4,8.0,3.1,59.5,43.2,2.43,60.8,-,-,-,-,-,-,0.86,71.8,33.7,2445,-,-,-
2023,Summer,Edward Gaming,S13,CN,41,48.8%,0.92,1829,2,30:58,12.8,14.0,6.2,5.7,46.3,48.8,2.15,51.7,-,-,-,-,-,-,0.73,50.9,33.1,2179,-,-,-
2023,Summer,Funplus Phoenix,S13,CN,37,43.2%,0.81,1792,-86,29:37,10.7,13.2,5.1,6.6,51.4,37.8,1.57,37.5,-,-,-,-,-,-,0.49,37.0,32.7,1979,-,-,-
2023,Summer,Invictus Gaming,S13,CN,36,36.1%,0.88,1780,-130,30:12,13.2,14.9,4.7,7.2,44.4,30.6,2.33,52.7,-,-,-,-,-,-,0.56,34.7,32.1,2098,-,-,-
2023,Summer,JD Gaming,S13,CN,36,80.6%,1.63,1978,249,29:07,17.1,10.4,7.8,3.7,55.6,36.1,2.44,63.6,-,-,-,-,-,-,0.69,60.9,34.5,2531,-,-,-
2023,Summer,LGD Gaming,S13,CN,39,28.2%,0.75,1752,-138,31:44,11.3,14.9,4.4,7.1,46.2,33.3,1.77,41.8,-,-,-,-,-,-,0.59,38.2,32.7,2018,-,-,-
2023,Summer,LNG Esports,S13,CN,37,67.6%,1.48,1899,155,30:25,15.4,10.4,7.1,4.5,67.6,59.5,2.19,51.8,-,-,-,-,-,-,0.81,66.2,32.9,2278,-,-,-
2023,Summer,Ninjas in Pyjamas,S13,CN,36,41.7%,0.84,1791,-76,28:59,10.9,12.9,5.0,6.3,44.4,30.6,1.64,41.2,-,-,-,-,-,-,0.72,54.7,32.8,2071,-,-,-
2023,Summer,OMG,S13,CN,40,57.5%,1.06,1857,68,29:02,12.4,11.7,6.3,4.8,52.5,37.5,2.08,50.7,-,-,-,-,-,-,0.75,66.2,33.2,2148,-,-,-
2023,Summer,Rare Atom,S13,CN,37,32.4%,0.73,1786,-122,29:56,11.2,15.5,4.7,7.1,48.6,29.7,1.68,40.2,-,-,-,-,-,-,0.68,38.0,32.7,1976,-,-,-
2023,Summer,Royal Never Give Up,S13,CN,40,55.0%,1.08,1854,41,30:21,14.1,13.0,6.5,5.0,55.0,37.5,2.43,57.1,-,-,-,-,-,-,0.70,49.4,32.9,2232,-,-,-
2023,Summer,Team WE,S13,CN,37,48.6%,1.07,1825,-2,30:57,12.4,11.6,5.8,6.0,51.4,29.7,2.16,50.5,-,-,-,-,-,-,0.73,54.2,32.9,2173,-,-,-
2023,Summer,Top Esports,S13,CN,38,65.8%,1.32,1871,117,30:32,14.0,10.6,6.6,5.0,55.3,44.7,2.50,60.4,-,-,-,-,-,-,0.79,60.4,33.3,2204,-,-,-
2023,Summer,TT,S13,CN,41,39.0%,0.86,1758,-89,32:15,11.6,13.4,5.1,6.9,48.8,46.3,2.27,50.0,-,-,-,-,-,-,0.59,36.3,32.8,1977,-,-,-
2023,Summer,Ultra Prime,S13,CN,38,31.6%,0.69,1760,-178,28:38,10.6,15.4,4.4,7.1,36.8,31.6,1.82,44.3,-,-,-,-,-,-,0.47,35.2,32.5,1992,-,-,-
2023,Summer,Weibo Gaming,S13,CN,39,64.1%,1.27,1852,113,30:23,12.9,10.1,6.7,4.8,38.5,61.5,2.00,49.8,-,-,-,-,-,-,0.82,64.5,33.0,2105,-,-,-
2023,Spring,Anyone s Legend,S13,CN,41,31.7%,0.75,1687,-185,32:30,10.5,13.9,4.4,7.6,56.1,34.1,1.90,40.9,-,-,-,-,-,-,0.44,30.3,31.1,2119,-,-,-
2023,Spring,Bilibili Gaming,S13,CN,42,59.5%,1.11,1852,115,32:01,14.4,13.0,7.0,4.8,54.8,47.6,2.48,54.9,-,-,-,-,-,-,0.90,61.2,32.3,2338,-,-,-
2023,Spring,Edward Gaming,S13,CN,39,71.8%,1.25,1858,144,31:26,13.1,10.4,7.6,4.4,46.2,64.1,2.82,67.0,-,-,-,-,-,-,0.92,69.2,32.8,2458,-,-,-
2023,Spring,Funplus Phoenix,S13,CN,39,33.3%,0.82,1735,-132,32:17,11.4,13.8,4.8,7.1,41.0,41.0,1.77,38.4,-,-,-,-,-,-,0.51,39.6,32.1,1953,-,-,-
2023,Spring,Invictus Gaming,S13,CN,36,50.0%,0.93,1786,-51,31:26,13.2,14.2,5.6,6.3,61.1,27.8,1.83,41.8,-,-,-,-,-,-,0.75,47.5,31.4,2169,-,-,-
2023,Spring,JD Gaming,S13,CN,36,77.8%,1.67,1954,293,30:17,15.8,9.4,8.4,3.3,50.0,69.4,2.67,65.5,-,-,-,-,-,-,0.89,67.4,33.5,2515,-,-,-
2023,Spring,LGD Gaming,S13,CN,38,34.2%,0.77,1718,-123,33:23,10.2,13.2,4.8,7.5,52.6,42.1,2.00,42.2,-,-,-,-,-,-,0.58,36.0,32.4,2090,-,-,-
2023,Spring,LNG Esports,S13,CN,39,71.8%,1.46,1889,186,32:51,16.2,11.1,7.7,4.5,53.8,43.6,2.67,59.9,-,-,-,-,-,-,0.90,66.2,32.7,2439,-,-,-
2023,Spring,Ninjas in Pyjamas,S13,CN,39,35.9%,0.90,1733,-116,31:50,11.8,13.1,5.1,7.1,51.3,30.8,1.95,43.2,-,-,-,-,-,-,0.69,40.6,31.2,2218,-,-,-
2023,Spring,OMG,S13,CN,42,57.1%,1.00,1830,61,31:51,12.2,12.1,6.4,5.3,50.0,45.2,2.33,53.1,-,-,-,-,-,-,0.98,66.2,32.5,2235,-,-,-
2023,Spring,Rare Atom,S13,CN,40,37.5%,0.80,1771,-95,31:30,11.5,14.4,4.6,7.1,52.5,25.0,1.95,43.3,-,-,-,-,-,-,0.70,40.2,32.6,2174,-,-,-
2023,Spring,Royal Never Give Up,S13,CN,37,48.6%,0.96,1786,-11,31:37,12.0,12.4,6.0,6.1,54.1,62.2,2.08,47.8,-,-,-,-,-,-,0.59,43.1,31.9,2229,-,-,-
