,Side,Region,Year,Game ID,Team,Victory,Game Duration,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
0,Blue Side,LEC,2024,57862,G2 Esports,False,28.517,Brokenblade,TOP,13.0,1.0,8.0,8.0,1.1,144.0,0.0,,5.0,7964.0,279.0,0.165,30.0,18.0,6.0,9.0,8.0,1.05,0.63,0.32,0.21,0.133,12703.0,6944.0,4936.0,823.0,445.0,0.169,0.32,0.818,0.0,0.0,0.0,0.0,0.0,-471.0,0.0,435.0,1.0,0.0,293.0,293.0,3226.0,0.0,38747.0,0.0,43.0,445.0,33743.0,145.0,10.0,25.0,150.0,0.0
1,Blue Side,LEC,2024,57862,G2 Esports,False,28.517,Yike,JUNGLE,12.0,1.0,5.0,6.0,1.4,137.0,119.0,,4.8,8751.0,307.0,0.181,41.0,8.0,8.0,7.0,6.0,1.44,0.28,0.25,0.28,0.182,6805.0,4737.0,1532.0,536.0,239.0,0.09,0.25,0.636,0.0,0.0,0.0,0.0,0.0,-387.0,-5.0,-281.0,0.0,0.0,2657.0,2657.0,14693.0,0.0,16661.0,0.0,15.0,137.0,30359.0,126.0,7.0,21.0,150.0,0.0
2,Blue Side,LEC,2024,57862,G2 Esports,False,28.517,Caps,MID,14.0,5.0,5.0,3.0,1.6,239.0,4.0,,8.4,12133.0,425.0,0.252,20.0,11.0,2.0,4.0,4.0,0.7,0.39,0.14,0.07,0.089,30140.0,766.0,28910.0,464.0,1057.0,0.401,0.28,0.727,0.0,0.0,0.0,0.0,0.0,1125.0,-1.0,458.0,0.0,0.0,5220.0,5220.0,3372.0,727.0,12634.0,0.0,18.0,73.0,20231.0,168.0,6.0,22.0,200.0,550.0
3,Blue Side,LEC,2024,57862,G2 Esports,False,28.517,Hans sama,ADC,14.0,3.0,4.0,3.0,1.5,259.0,20.0,,9.1,12282.0,431.0,0.255,25.0,12.0,8.0,4.0,4.0,0.88,0.42,0.14,0.28,0.111,22429.0,19007.0,3113.0,309.0,787.0,0.298,0.21,0.545,10.0,0.0,0.0,0.0,0.0,361.0,-1.0,204.0,0.0,0.0,5856.0,5856.0,2847.0,0.0,7843.0,0.0,3.0,40.0,16606.0,92.0,5.0,22.0,300.0,250.0
4,Blue Side,LEC,2024,57862,G2 Esports,False,28.517,Mikyx,SUPPORT,10.0,1.0,7.0,4.0,0.7,37.0,0.0,,1.3,7106.0,249.0,0.147,109.0,51.0,23.0,16.0,14.0,3.82,1.79,0.56,0.81,0.484,3126.0,410.0,2086.0,630.0,110.0,0.042,0.18,0.455,0.0,0.0,0.0,0.0,0.0,-528.0,4.0,-635.0,-1.0,0.0,2286.0,2286.0,943.0,707.0,7138.0,3470.0,20.0,222.0,16227.0,113.0,18.0,31.0,200.0,0.0
5,Red Side,LEC,2024,57862,Fnatic,True,28.517,Oscarinin,TOP,15.0,3.0,1.0,15.0,18.0,154.0,0.0,,5.4,10125.0,355.0,0.163,25.0,11.0,4.0,5.0,5.0,0.88,0.39,0.18,0.14,0.083,12486.0,991.0,8982.0,2513.0,438.0,0.126,0.63,0.621,0.0,0.0,0.0,0.0,0.0,471.0,0.0,-435.0,-1.0,0.0,5112.0,5112.0,29191.0,0.0,33002.0,0.0,32.0,261.0,34554.0,21.0,6.0,23.0,0.0,0.0
6,Red Side,LEC,2024,57862,Fnatic,True,28.517,Razork,JUNGLE,15.0,7.0,4.0,15.0,5.5,168.0,151.0,,5.9,12292.0,431.0,0.197,41.0,10.0,6.0,7.0,7.0,1.44,0.35,0.25,0.21,0.137,21569.0,18019.0,1351.0,2199.0,756.0,0.217,0.77,0.759,0.0,1.0,0.0,0.0,0.0,387.0,5.0,281.0,0.0,0.0,2056.0,2056.0,27706.0,0.0,31843.0,0.0,24.0,451.0,45195.0,124.0,8.0,26.0,50.0,300.0
7,Red Side,LEC,2024,57862,Fnatic,True,28.517,Humanoid,MID,16.0,5.0,4.0,13.0,4.5,283.0,43.0,,9.9,14179.0,497.0,0.228,32.0,8.0,11.0,0.0,0.0,1.12,0.28,0.0,0.39,0.107,18773.0,426.0,18302.0,45.0,658.0,0.189,0.63,0.621,0.0,1.0,0.0,0.0,0.0,-1125.0,1.0,-458.0,0.0,0.0,8151.0,8151.0,5524.0,1552.0,11536.0,0.0,8.0,166.0,17343.0,116.0,2.0,17.0,200.0,500.0
8,Red Side,LEC,2024,57862,Fnatic,True,28.517,Noah,ADC,15.0,12.0,3.0,12.0,8.0,254.0,10.0,,8.9,15470.0,542.0,0.248,34.0,10.0,7.0,2.0,2.0,1.19,0.35,0.07,0.25,0.113,37837.0,30834.0,5073.0,1930.0,1327.0,0.381,0.84,0.828,0.0,1.0,1.0,0.0,0.0,-361.0,1.0,-204.0,0.0,0.0,7730.0,7730.0,6317.0,980.0,6947.0,0.0,32.0,306.0,15950.0,65.0,4.0,23.0,0.0,200.0
9,Red Side,LEC,2024,57862,Fnatic,True,28.517,Jun,SUPPORT,13.0,2.0,0.0,27.0,100.0,43.0,0.0,,1.5,10233.0,359.0,0.164,168.0,94.0,25.0,16.0,16.0,5.89,3.3,0.56,0.88,0.56,8694.0,2065.0,5189.0,1440.0,305.0,0.088,1.02,1.0,0.0,0.0,0.0,0.0,0.0,528.0,-4.0,635.0,1.0,0.0,3219.0,3219.0,3482.0,308.0,13982.0,6365.0,24.0,246.0,12548.0,0.0,19.0,37.0,550.0,0.0
