Team,Year,Split,Role,Player
BRION,2023,Summer,TOP,Morgan
BRION,2023,Summer,JUNGLE,UmTi
BRION,2023,Summer,MID,Karis
BRION,2023,Summer,BOT,Hena
BRION,2023,Summer,SUPPORT,Effort
BRION,2023,Summer,MID,Ivory
Dplus KIA,2023,Summer,TOP,Canna
Dplus KIA,2023,Summer,JUNGLE,Canyon
Dplus KIA,2023,Summer,MID,ShowMaker
Dplus KIA,2023,Summer,BOT,Deft
Dplus KIA,2023,Summer,SUPPORT,Bible
Dplus KIA,2023,Summer,BOT,Rahel
Dplus KIA,2023,Summer,SUPPORT,Kellin
DRX,2023,Summer,TOP,Rascal
DRX,2023,Summer,JUNGLE,Croco
DRX,2023,Summer,MID,FATE
DRX,2023,Summer,BOT,Paduck
DRX,2023,Summer,SUPPORT,BeryL
DRX,2023,Summer,JUNGLE,Juhan
DRX,2023,Summer,MID,Kyeahoo
Gen.G eSports,2023,Summer,TOP,Doran
Gen.G eSports,2023,Summer,JUNGLE,Peanut
Gen.G eSports,2023,Summer,MID,Chovy
Gen.G eSports,2023,Summer,BOT,Peyz
Gen.G eSports,2023,Summer,SUPPORT,Delight
Hanwha Life eSports,2023,Summer,TOP,kingen
Hanwha Life eSports,2023,Summer,JUNGLE,Grizzly
Hanwha Life eSports,2023,Summer,MID,Zeka
Hanwha Life eSports,2023,Summer,BOT,Viper
Hanwha Life eSports,2023,Summer,SUPPORT,Life
Hanwha Life eSports,2023,Summer,JUNGLE,Clid
KT Rolster,2023,Summer,TOP,PerfecT
KT Rolster,2023,Summer,JUNGLE,HamBak
KT Rolster,2023,Summer,MID,Feisty
KT Rolster,2023,Summer,BOT,Hype
KT Rolster,2023,Summer,SUPPORT,Way
KT Rolster,2023,Summer,TOP,Kiin
KT Rolster,2023,Summer,JUNGLE,Cuzz
KT Rolster,2023,Summer,MID,Bdd
KT Rolster,2023,Summer,BOT,Aiming
KT Rolster,2023,Summer,SUPPORT,Lehends
Kwangdong Freecs,2023,Summer,TOP,DuDu
Kwangdong Freecs,2023,Summer,JUNGLE,YoungJae
Kwangdong Freecs,2023,Summer,MID,Bulldog
Kwangdong Freecs,2023,Summer,BOT,Taeyoon
Kwangdong Freecs,2023,Summer,SUPPORT,Andil
Kwangdong Freecs,2023,Summer,SUPPORT,Jun
Liiv SANDBOX,2023,Summer,TOP,Clear
Liiv SANDBOX,2023,Summer,JUNGLE,Willer
Liiv SANDBOX,2023,Summer,MID,Clozer
Liiv SANDBOX,2023,Summer,BOT,Teddy
Liiv SANDBOX,2023,Summer,SUPPORT,Kael
Liiv SANDBOX,2023,Summer,TOP,Burdol
Nongshim RedForce,2023,Summer,TOP,DnDn
Nongshim RedForce,2023,Summer,JUNGLE,Sylvie
Nongshim RedForce,2023,Summer,MID,FIESTA
Nongshim RedForce,2023,Summer,BOT,Jiwoo
Nongshim RedForce,2023,Summer,SUPPORT,Peter
Nongshim RedForce,2023,Summer,MID,Quad
Nongshim RedForce,2023,Summer,BOT,Vital
T1,2023,Summer,TOP,Zeus
T1,2023,Summer,JUNGLE,Oner
T1,2023,Summer,MID,Faker
T1,2023,Summer,BOT,Gumayusi
T1,2023,Summer,SUPPORT,Keria
T1,2023,Summer,MID,Poby
BRION,2023,Spring,TOP,Morgan
BRION,2023,Spring,JUNGLE,UmTi
BRION,2023,Spring,MID,Karis
BRION,2023,Spring,BOT,Hena
BRION,2023,Spring,SUPPORT,Effort
Dplus KIA,2023,Spring,TOP,Canna
Dplus KIA,2023,Spring,JUNGLE,Canyon
Dplus KIA,2023,Spring,MID,ShowMaker
Dplus KIA,2023,Spring,BOT,Deft
Dplus KIA,2023,Spring,SUPPORT,Kellin
DRX,2023,Spring,TOP,Rascal
DRX,2023,Spring,JUNGLE,Juhan
DRX,2023,Spring,MID,FATE
DRX,2023,Spring,BOT,deokdam
DRX,2023,Spring,SUPPORT,BeryL
DRX,2023,Spring,JUNGLE,Croco
DRX,2023,Spring,BOT,Pleata
Gen.G eSports,2023,Spring,TOP,Doran
Gen.G eSports,2023,Spring,JUNGLE,Peanut
Gen.G eSports,2023,Spring,MID,Chovy
Gen.G eSports,2023,Spring,BOT,Peyz
Gen.G eSports,2023,Spring,SUPPORT,Delight
Hanwha Life eSports,2023,Spring,TOP,kingen
Hanwha Life eSports,2023,Spring,JUNGLE,Clid
Hanwha Life eSports,2023,Spring,MID,Zeka
Hanwha Life eSports,2023,Spring,BOT,Viper
Hanwha Life eSports,2023,Spring,SUPPORT,Life
KT Rolster,2023,Spring,TOP,Kiin
KT Rolster,2023,Spring,JUNGLE,Cuzz
KT Rolster,2023,Spring,MID,Bdd
KT Rolster,2023,Spring,BOT,Aiming
KT Rolster,2023,Spring,SUPPORT,Lehends
Kwangdong Freecs,2023,Spring,TOP,DuDu
Kwangdong Freecs,2023,Spring,JUNGLE,YoungJae
Kwangdong Freecs,2023,Spring,MID,Bulldog
Kwangdong Freecs,2023,Spring,BOT,Taeyoon
Kwangdong Freecs,2023,Spring,SUPPORT,Moham
Kwangdong Freecs,2023,Spring,SUPPORT,Jun
Liiv SANDBOX,2023,Spring,TOP,Burdol
Liiv SANDBOX,2023,Spring,JUNGLE,Willer
Liiv SANDBOX,2023,Spring,MID,Clozer
Liiv SANDBOX,2023,Spring,BOT,Envyy
Liiv SANDBOX,2023,Spring,SUPPORT,Kael
Nongshim RedForce,2023,Spring,TOP,DnDn
Nongshim RedForce,2023,Spring,JUNGLE,Sylvie
Nongshim RedForce,2023,Spring,MID,Callme
Nongshim RedForce,2023,Spring,BOT,Vital
Nongshim RedForce,2023,Spring,SUPPORT,Peter
Nongshim RedForce,2023,Spring,MID,FIESTA
T1,2023,Spring,TOP,Zeus
T1,2023,Spring,JUNGLE,Oner
T1,2023,Spring,MID,Faker
T1,2023,Spring,BOT,Gumayusi
T1,2023,Spring,SUPPORT,Keria
DRX,2022,Summer,TOP,kingen
DRX,2022,Summer,JUNGLE,Pyosik
DRX,2022,Summer,MID,Zeka
DRX,2022,Summer,BOT,Deft
DRX,2022,Summer,SUPPORT,BeryL
DRX,2022,Summer,JUNGLE,Juhan
DRX,2022,Summer,BOT,BeryL
DRX,2022,Summer,SUPPORT,Deft
DWG KIA,2022,Summer,TOP,Nuguri
DWG KIA,2022,Summer,JUNGLE,Canyon
DWG KIA,2022,Summer,MID,ShowMaker
DWG KIA,2022,Summer,BOT,deokdam
DWG KIA,2022,Summer,SUPPORT,Kellin
DWG KIA,2022,Summer,BOT,Kellin
DWG KIA,2022,Summer,SUPPORT,deokdam
DWG KIA,2022,Summer,SUPPORT,Bible
Fredit BRION,2022,Summer,TOP,Morgan
Fredit BRION,2022,Summer,JUNGLE,UmTi
Fredit BRION,2022,Summer,MID,Lava
Fredit BRION,2022,Summer,BOT,Hena
Fredit BRION,2022,Summer,SUPPORT,Delight
Fredit BRION,2022,Summer,TOP,Sw0rd
Fredit BRION,2022,Summer,JUNGLE,Raptor
Fredit BRION,2022,Summer,BOT,Gamin
Gen.G eSports,2022,Summer,TOP,Doran
Gen.G eSports,2022,Summer,JUNGLE,Peanut
Gen.G eSports,2022,Summer,MID,Chovy
Gen.G eSports,2022,Summer,BOT,Ruler
Gen.G eSports,2022,Summer,SUPPORT,Lehends
Gen.G eSports,2022,Summer,BOT,Lehends
Gen.G eSports,2022,Summer,SUPPORT,Ruler
Hanwha Life eSports,2022,Summer,TOP,DuDu
Hanwha Life eSports,2022,Summer,JUNGLE,OnFleek
Hanwha Life eSports,2022,Summer,MID,Karis
Hanwha Life eSports,2022,Summer,BOT,Hans SamD
Hanwha Life eSports,2022,Summer,SUPPORT,Vsta
Hanwha Life eSports,2022,Summer,JUNGLE,Willer
Hanwha Life eSports,2022,Summer,BOT,Vsta
Hanwha Life eSports,2022,Summer,BOT,Cheoni
Hanwha Life eSports,2022,Summer,SUPPORT,Hans SamD
KT Rolster,2022,Summer,TOP,Rascal
KT Rolster,2022,Summer,JUNGLE,Cuzz
KT Rolster,2022,Summer,MID,Vicla
KT Rolster,2022,Summer,BOT,Aiming
KT Rolster,2022,Summer,SUPPORT,Life
KT Rolster,2022,Summer,MID,Aria
KT Rolster,2022,Summer,BOT,Life
KT Rolster,2022,Summer,SUPPORT,Aiming
Kwangdong Freecs,2022,Summer,TOP,Kiin
Kwangdong Freecs,2022,Summer,JUNGLE,Ellim
Kwangdong Freecs,2022,Summer,MID,FATE
Kwangdong Freecs,2022,Summer,BOT,Teddy
Kwangdong Freecs,2022,Summer,SUPPORT,Hoit
Kwangdong Freecs,2022,Summer,BOT,Hoit
Kwangdong Freecs,2022,Summer,BOT,Moham
Kwangdong Freecs,2022,Summer,SUPPORT,Moham
Kwangdong Freecs,2022,Summer,SUPPORT,Teddy
