Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
APA,2023,Summer,5W - 3L,62.5%,3.9,8.5,465,24.5%,72.1%
Armao,2023,Summer,9W - 6L,60%,4.5,4.9,335,17.9%,81%
Berserker,2023,Summer,14W - 5L,73.7%,8.2,9.6,454,23%,64.1%
Blaber,2023,Summer,14W - 5L,73.7%,5.6,7.1,405,20.4%,74.5%
Bolulu,2023,Summer,5W - 13L,27.8%,2.9,8.2,372,21.8%,74.3%
Bugi,2023,Summer,8W - 10L,44.4%,3.5,5.1,324,18.5%,84%
Busio,2023,Summer,7W - 12L,36.8%,2.7,0.9,223,12.7%,77%
Chime,2023,Summer,8W - 10L,44.4%,4.2,1,228,13%,73.7%
Closer,2023,Summer,7W - 12L,36.8%,2.7,5.2,310,17.7%,60.3%
Contractz,2023,Summer,9W - 9L,50%,3.4,5.2,329,18.3%,77.2%
CoreJJ,2023,Summer,10W - 8L,55.6%,4.9,0.9,250,13.1%,69.7%
Dhokla,2023,Summer,9W - 9L,50%,2.7,7.6,376,20.9%,60.9%
Diamond,2023,Summer,6W - 6L,50%,2.0,1.1,231,13%,68.2%
Doublelift,2023,Summer,7W - 12L,36.8%,3.0,10.4,451,25.6%,77.1%
EMENES,2023,Summer,14W - 5L,73.7%,5.7,9,446,22.6%,72%
Eyla,2023,Summer,12W - 6L,66.7%,4.5,1,244,12.9%,80.5%
FBI,2023,Summer,9W - 9L,50%,3.5,9.2,438,24.3%,72.4%
Fudge,2023,Summer,14W - 5L,73.7%,4.1,8.5,410,20.9%,62.4%
Gori,2023,Summer,13W - 6L,68.4%,4.4,8.9,434,22.7%,66%
Haeri,2023,Summer,5W - 5L,50%,3.7,8.4,398,20.9%,59.2%
Hauntzer,2023,Summer,8W - 10L,44.4%,2.5,8.4,378,21.6%,47.8%
Huhi,2023,Summer,13W - 6L,68.4%,3.4,1.1,245,12.9%,63.3%
IgNar,2023,Summer,9W - 9L,50%,4.4,0.8,231,12.8%,72.4%
Impact,2023,Summer,6W - 12L,33.3%,2.6,7.7,367,20.8%,57%
