Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
113,2023,Summer,3W - 6L,33.3%,2.7,4.9,332,19.4%,72.5%
Abbedagge,2023,Summer,5W - 4L,55.6%,3.2,8.1,385,21.1%,67.4%
Adam,2023,Summer,4W - 4L,50%,2.2,8,394,21.7%,60.1%
Advienne,2023,Summer,4W - 5L,44.4%,4.1,0.7,220,12.5%,69.1%
Agresivoo,2023,Summer,0W - 1L,0%,1.3,7.2,384,24%,71.4%
Bo,2023,Summer,1W - 5L,16.7%,1.1,5.7,319,18.5%,70.6%
Brokenblade,2023,Summer,8W - 1L,88.9%,5.9,7.5,394,20.3%,56.2%
Caps,2023,Summer,8W - 1L,88.9%,4.6,8.8,421,21.7%,59.7%
Carzzy,2023,Summer,4W - 5L,44.4%,3.0,10.5,469,26.3%,62.7%
Chasy,2023,Summer,4W - 5L,44.4%,2.1,7.3,359,20.2%,53.3%
Comp,2023,Summer,4W - 5L,44.4%,3.1,10.4,453,25.7%,67.9%
Crownie,2023,Summer,4W - 5L,44.4%,3.4,10.5,463,26%,58.1%
Daglas,2023,Summer,0W - 3L,0%,3.4,5.1,334,19.2%,81.7%
Doss,2023,Summer,4W - 5L,44.4%,4.9,0.7,227,12.7%,78.9%
Elyoya,2023,Summer,4W - 5L,44.4%,3.0,5.5,347,19.4%,65.6%
Evi,2023,Summer,5W - 4L,55.6%,1.8,6.6,330,18.2%,42.5%
Exakick,2023,Summer,4W - 5L,44.4%,3.2,9.9,461,25.9%,73%
Execute,2023,Summer,3W - 6L,33.3%,2.0,1,229,13.4%,70%
Finn,2023,Summer,3W - 6L,33.3%,2.5,8,371,21.6%,59.8%
Flakked,2023,Summer,5W - 4L,55.6%,5.8,9.6,470,26.1%,74.3%
Hans sama,2023,Summer,8W - 1L,88.9%,6.5,9.7,485,25%,73.1%
Humanoid,2023,Summer,7W - 2L,77.8%,5.3,8.8,429,22.2%,65%
Hylissang,2023,Summer,4W - 5L,44.4%,2.5,0.9,230,12.9%,66.8%
