Year,Split,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
2023,Summer,Astralis,S13,EUW,9,33.3%,0.65,1718,-131,29:15,9.3,14.2,4.7,6.3,44.4,55.6,1.89,40.9,1.33,66.7,0.78,0.7,341,5.44,0.44,38.9,31.5,1889,3.2,1.04,1.11
2023,Summer,Excel Esports,S13,EUW,9,55.6%,1.20,1826,16,33:15,13.4,11.2,6.8,6.9,11.1,44.4,2.44,48.3,1.11,55.6,0.89,-0.6,-1194,4.00,0.89,50.0,32.2,2177,3.6,1.21,1.34
2023,Summer,Fnatic,S13,EUW,9,77.8%,1.70,1929,223,31:59,17.0,10.0,8.2,4.4,66.7,44.4,2.89,65.8,0.78,44.4,0.78,0.1,1523,4.00,1.00,75.9,32.6,2373,2.8,0.93,1.46
2023,Summer,G2 Esports,S13,EUW,9,88.9%,1.64,1941,299,31:24,15.1,9.2,9.3,3.0,44.4,100.0,3.00,66.1,1.22,61.1,0.89,0.8,1826,7.00,1.11,77.8,32.5,2294,3.0,0.90,1.31
2023,Summer,KOI,S13,EUW,9,44.4%,1.00,1756,-37,33:03,10.4,10.4,5.9,6.8,66.7,55.6,1.89,37.2,0.89,44.4,0.78,-0.1,373,5.11,0.56,38.9,32.8,2054,3.1,1.12,1.28
2023,Summer,MAD Lions,S13,EUW,9,44.4%,0.78,1782,-90,32:18,12.9,16.6,6.6,7.2,22.2,55.6,2.33,49.3,0.44,22.2,0.89,0.3,-68,5.11,0.67,40.7,32.3,2374,3.0,1.08,1.24
2023,Summer,SK Gaming,S13,EUW,9,44.4%,1.00,1787,-61,32:58,13.8,13.7,5.7,7.3,66.7,33.3,1.89,37.8,1.33,66.7,0.67,-0.3,-409,5.22,0.89,55.6,31.1,2169,3.2,1.19,1.36
2023,Summer,Team BDS,S13,EUW,9,44.4%,0.83,1787,-68,32:17,10.7,12.9,6.4,7.3,44.4,33.3,2.11,47.2,1.00,50.0,1.00,-0.7,-1542,4.33,0.89,50.0,32.1,1836,2.8,1.00,1.38
2023,Summer,Team Heretics,S13,EUW,9,55.6%,1.11,1807,17,32:58,14.2,12.8,6.8,6.8,77.8,44.4,3.00,67.8,0.89,44.4,1.00,-0.3,-380,3.33,0.67,44.4,31.5,2301,3.1,1.04,1.38
2023,Summer,Team Vitality,S13,EUW,9,11.1%,0.59,1730,-167,31:18,8.4,14.3,4.3,8.6,55.6,33.3,1.78,39.6,0.89,44.4,0.67,0.1,-469,5.78,0.56,27.8,33.2,2047,3.3,0.94,1.34
2022,Summer,Astralis,S12,EUW,18,38.9%,0.91,1756,-52,35:18,11.8,12.8,5.6,7.6,44.4,33.3,2.28,46.5,0.89,44.4,0.83,-0.6,-741,3.67,0.78,44.4,31.9,2175,3.6,1.24,1.48
2022,Summer,Excel Esports,S12,EUW,19,52.6%,1.01,1791,41,33:21,12.3,12.2,6.4,5.5,63.2,68.4,2.47,55.6,1.11,55.3,1.21,0.0,117,4.58,0.79,59.3,31.4,2066,3.5,1.26,1.47
2022,Summer,Fnatic,S12,EUW,19,52.6%,0.90,1797,9,34:19,11.9,13.1,6.9,6.6,47.4,52.6,2.74,55.3,0.74,36.8,0.74,-0.1,207,4.37,0.95,53.5,32.7,2236,3.4,1.08,1.55
