Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
1xn,2023,Summer,13W - 22L,37.1%,3.8,9.6,432,24.6%,62.6%
369,2023,Summer,29W - 7L,80.6%,4.8,7.9,385,19.5%,56.8%
AKi,2023,Summer,23W - 17L,57.5%,3.6,5.8,355,19.1%,64.7%
Able,2023,Summer,23W - 17L,57.5%,3.2,9.8,465,25.1%,65.6%
Ahn,2023,Summer,13W - 21L,38.2%,3.7,9.6,449,25.1%,69.9%
Ale,2023,Summer,20W - 21L,48.8%,2.7,8.6,399,21.9%,51.1%
Angel,2023,Summer,15W - 21L,41.7%,3.9,8.4,395,22.1%,71.8%
Assum,2023,Summer,12W - 25L,32.4%,2.4,9.4,437,24.5%,68.9%
Baolan,2023,Summer,3W - 6L,33.3%,1.4,1.1,226,12.7%,76.1%
Beichuan,2023,Summer,15W - 21L,41.7%,2.9,5.8,335,18.9%,73.6%
Bin,2023,Summer,30W - 7L,81.1%,3.9,8.7,422,21.2%,50.1%
Bonnie,2023,Summer,0W - 2L,0%,1.5,4.9,302,19.4%,92.9%
Breathe,2023,Summer,22W - 18L,55%,3.3,8.1,391,21.1%,58.8%
Care,2023,Summer,16W - 21L,43.2%,2.9,7.9,381,21.3%,67.9%
Creme,2023,Summer,23W - 17L,57.5%,3.1,8.6,406,21.8%,57.4%
Crisp,2023,Summer,25W - 14L,64.1%,4.9,1,248,13.4%,76.3%
Cryin,2023,Summer,13W - 23L,36.1%,3.3,7.9,374,21%,65.3%
Cube,2023,Summer,18W - 19L,48.6%,2.9,8.2,379,20.8%,52.7%
Decade,2023,Summer,5W - 12L,29.4%,1.5,8.3,374,21.3%,42.8%
Doggo,2023,Summer,12W - 26L,31.6%,2.6,9.4,432,24.5%,67.7%
Dream,2023,Summer,3W - 7L,30%,2.1,8.4,401,22.7%,73.2%
Elk,2023,Summer,30W - 7L,81.1%,5.1,9.7,489,24.6%,71.3%
Envyy,2023,Summer,5W - 16L,23.8%,2.1,9.7,424,24.5%,64.6%
Feather,2023,Summer,9W - 19L,32.1%,2.3,1,236,13.2%,74.9%
Fisher,2023,Summer,0W - 2L,0%,1.0,6.6,303,18.2%,37.5%
FoFo,2023,Summer,20W - 19L,51.3%,3.9,8.2,393,21.4%,69.4%
Forge,2023,Summer,9W - 19L,32.1%,2.2,7.8,366,20.9%,71.4%
GALA,2023,Summer,25W - 12L,67.6%,6.9,10.1,481,25.4%,69.4%
H4cker,2023,Summer,16W - 19L,45.7%,3.2,5.7,346,19.1%,76.4%
Haichao,2023,Summer,11W - 28L,28.2%,2.9,8.5,389,22.2%,63.6%
Hang,2023,Summer,25W - 12L,67.6%,4.6,1.1,251,13.2%,74.8%
Harder,2023,Summer,9W - 17L,34.6%,2.5,8.1,374,21.2%,69.4%
Heng,2023,Summer,18W - 19L,48.6%,3.7,5.4,341,18.7%,78.6%
Hery,2023,Summer,12W - 26L,31.6%,2.4,8.1,373,21.2%,57.8%
Hope,2023,Summer,18W - 19L,48.6%,4.3,9.6,453,24.8%,71.5%
Hoya,2023,Summer,16W - 25L,39%,2.2,7.5,356,20.3%,53.6%
Iwandy,2023,Summer,18W - 19L,48.6%,3.5,1.1,242,13.2%,76.5%
JackeyLove,2023,Summer,25W - 13L,65.8%,5.4,10.1,480,25.7%,74.6%
Jiejie,2023,Summer,20W - 21L,48.8%,3.8,5.5,346,18.9%,73.6%
Kanavi,2023,Summer,29W - 7L,80.6%,5.9,6.7,402,20.3%,67.8%
Knight,2023,Summer,28W - 7L,80%,5.3,8.6,436,22%,65.1%
LP,2023,Summer,22W - 18L,55%,3.5,9.7,459,24.7%,63.6%
Leave,2023,Summer,4W - 4L,50%,2.4,9.6,437,23.8%,61.7%
Leyan,2023,Summer,12W - 25L,32.4%,2.2,5.9,350,19.6%,65.3%
Light,2023,Summer,25W - 14L,64.1%,7.2,10.3,468,25.3%,66.5%
Lpc,2023,Summer,6W - 12L,33.3%,2.8,9.3,422,23.7%,59.9%
LvMao,2023,Summer,22W - 18L,55%,3.6,1,244,13.2%,69.9%
Lwx,2023,Summer,16W - 21L,43.2%,2.8,9.8,450,25.1%,72.6%
Lzq,2023,Summer,1W - 0L,100%,2.0,7.9,433,22.6%,66.7%
Mark,2023,Summer,25W - 13L,65.8%,4.8,1,256,13.7%,77.7%
Meteor,2023,Summer,11W - 28L,28.2%,3.2,5.8,347,19.8%,71.6%
Missing,2023,Summer,29W - 7L,80.6%,5.0,1.2,259,13.1%,70.8%
Mole,2023,Summer,0W - 9L,0%,1.6,8,368,21.7%,59.6%
Ning,2023,Summer,12W - 26L,31.6%,2.2,5.9,350,19.9%,77.4%
ON,2023,Summer,30W - 7L,81.1%,4.0,1.3,269,13.5%,74.4%
Photic,2023,Summer,15W - 21L,41.7%,2.8,9.8,445,24.8%,66.3%
Pinz,2023,Summer,3W - 10L,23.1%,1.8,7.8,358,21.1%,57.2%
Ppgod,2023,Summer,23W - 17L,57.5%,4.3,1.1,245,13.2%,77.4%
Qiuqiu,2023,Summer,16W - 21L,43.2%,3.2,0.9,236,13.2%,78.9%
RooKie,2023,Summer,25W - 13L,65.8%,5.5,8.5,405,21.6%,67.5%
Ruler,2023,Summer,29W - 7L,80.6%,6.8,10.2,496,25%,66%
Scout,2023,Summer,25W - 12L,67.6%,5.5,8.4,429,22.5%,68.8%
Shad0w,2023,Summer,15W - 20L,42.9%,2.9,5.2,332,18.5%,74.5%
Shanks,2023,Summer,18W - 19L,48.6%,4.3,8.6,409,22.4%,66.5%
Strive,2023,Summer,12W - 16L,42.9%,4.2,8.3,381,21%,65.7%
SwordArt,2023,Summer,12W - 26L,31.6%,2.7,1.1,230,13.1%,76.3%
Tangyuan,2023,Summer,22W - 18L,55%,4.4,8.4,405,21.9%,71.5%
Tarzan,2023,Summer,25W - 12L,67.6%,4.4,5.1,344,18.1%,70.3%
TheShy,2023,Summer,25W - 14L,64.1%,2.6,8,382,20.7%,47%
Thesnake,2023,Summer,0W - 2L,0%,1.4,9.8,424,25.9%,82.9%
Tian,2023,Summer,25W - 13L,65.8%,3.9,6,363,19.4%,71.8%
Tianzhen,2023,Summer,12W - 17L,41.4%,2.6,5.4,335,18.5%,67.8%
Ucal,2023,Summer,16W - 25L,39%,4.4,8.9,411,23.3%,71.8%
Uzi,2023,Summer,16W - 15L,51.6%,3.8,10,460,24.9%,69.9%
Wayward,2023,Summer,25W - 13L,65.8%,3.9,7.7,367,19.6%,54.7%
Wei,2023,Summer,22W - 18L,55%,3.6,5.6,355,19.2%,71.8%
WeiWei,2023,Summer,25W - 14L,64.1%,4.0,5.3,336,18.2%,72.4%
Wen,2023,Summer,1W - 4L,20%,1.4,7.4,366,22.3%,55.8%
Wink,2023,Summer,13W - 23L,36.1%,3.0,1.2,237,13.4%,70.4%
XLB,2023,Summer,0W - 1L,0%,1.2,6.2,327,20.6%,75%
XUN,2023,Summer,30W - 7L,81.1%,5.6,6,396,19.9%,69.3%
Xiaohao,2023,Summer,12W - 27L,30.8%,4.0,6.2,352,20.2%,81.4%
Xiaolaohu,2023,Summer,16W - 21L,43.2%,2.0,8.4,382,21.3%,45.9%
Xiaoxu,2023,Summer,12W - 25L,32.4%,2.4,8.1,387,21.7%,48.4%
YSKM,2023,Summer,12W - 17L,41.4%,2.5,8.2,401,22.1%,55.1%
Yagao,2023,Summer,30W - 7L,81.1%,5.4,7.9,412,20.7%,67.7%
Zdz,2023,Summer,12W - 27L,30.8%,2.2,8.1,375,21.5%,47.8%
Zhuo,2023,Summer,15W - 21L,41.7%,3.1,1.1,237,13.2%,75%
Zika,2023,Summer,25W - 12L,67.6%,4.3,8.2,395,20.8%,51.5%
Zorah,2023,Summer,12W - 27L,30.8%,2.3,1.1,227,13%,71.6%
beishang,2023,Summer,1W - 6L,14.3%,2.0,5.2,305,18.7%,61.5%
fearness,2023,Summer,6W - 16L,27.3%,1.8,7.4,354,20.2%,46.8%
huanfeng,2023,Summer,3W - 3L,50%,4.8,10.5,462,25.7%,57.8%
iBOY,2023,Summer,9W - 12L,42.9%,2.8,9.7,425,24%,66.7%
invincible,2023,Summer,15W - 21L,41.7%,2.0,8.3,382,21.3%,52.9%
jinjiao,2023,Summer,11W - 28L,28.2%,2.1,1.1,231,13.2%,66.5%
meiko,2023,Summer,20W - 21L,48.8%,2.6,1,243,13.2%,76.7%
neny,2023,Summer,0W - 2L,0%,1.3,7.9,313,19.9%,41.7%
shanji,2023,Summer,23W - 17L,57.5%,3.2,7.9,386,20.8%,57.4%
xiaohu,2023,Summer,25W - 14L,64.1%,4.5,8.4,418,22.5%,71.2%
xiaohuangren,2023,Summer,1W - 4L,20%,2.5,5.6,317,19.1%,64.2%
xiaoyueji,2023,Summer,0W - 2L,0%,3.3,10,429,25.6%,27.8%
yaoyao,2023,Summer,13W - 19L,40.6%,2.2,1,222,12.6%,65%
yuyanjia,2023,Summer,3W - 6L,33.3%,1.8,0.8,226,13%,57.2%
zhiqiuyi,2023,Summer,3W - 15L,16.7%,2.5,8.7,411,24.2%,68.1%
369,2023,Spring,28W - 8L,77.8%,3.7,8,388,19.9%,52.8%
AKi,2023,Spring,24W - 18L,57.1%,3.7,5.4,337,18.4%,74.3%
Able,2023,Spring,24W - 18L,57.1%,3.7,9.6,447,24.5%,65.8%
Ahn,2023,Spring,18W - 18L,50%,3.3,9.3,447,25%,70%
Ale,2023,Spring,28W - 11L,71.8%,3.5,8.7,413,22.2%,57.3%
Angel,2023,Spring,16W - 12L,57.1%,3.9,8.3,398,21.9%,61.3%
Assum,2023,Spring,15W - 25L,37.5%,2.9,9.4,432,24.4%,66.3%
Baolan,2023,Spring,9W - 28L,24.3%,2.0,0.7,226,13.5%,74.8%
Beichuan,2023,Spring,18W - 18L,50%,2.9,5.2,332,18.6%,71.9%
Betty,2023,Spring,13W - 28L,31.7%,3.3,9.1,408,24.2%,66.5%
Bin,2023,Spring,25W - 17L,59.5%,2.7,8.5,407,22%,48.8%
Biubiu,2023,Spring,19W - 21L,47.5%,2.4,7.9,370,20.4%,45.5%
Breathe,2023,Spring,18W - 19L,48.6%,2.5,8.2,385,21.6%,53%
Bunny,2023,Spring,2W - 4L,33.3%,1.8,0.7,227,13.1%,56.6%
Care,2023,Spring,13W - 26L,33.3%,3.3,8.4,394,22.6%,68.3%
Creme,2023,Spring,24W - 18L,57.1%,3.5,8.8,413,22.5%,68.1%
Crisp,2023,Spring,25W - 14L,64.1%,4.8,0.7,248,13.3%,76.6%
Cube,2023,Spring,15W - 25L,37.5%,2.2,8.2,373,21.1%,46.3%
Doggo,2023,Spring,9W - 28L,24.3%,2.3,9.2,411,24.4%,64%
Dove,2023,Spring,16W - 18L,47.1%,2.6,7.8,365,20.6%,56.1%
Dream,2023,Spring,7W - 15L,31.8%,2.5,8.1,362,21.2%,61.3%
Elk,2023,Spring,25W - 17L,59.5%,4.7,9.3,461,24.8%,72.1%
FoFo,2023,Spring,28W - 11L,71.8%,6.0,8.3,394,21.3%,70.3%
Forge,2023,Spring,1W - 8L,11.1%,1.5,8.1,348,21.5%,75.5%
GALA,2023,Spring,18W - 19L,48.6%,3.9,9.7,447,25%,67.7%
GIDEON,2023,Spring,18W - 18L,50%,2.9,5,323,18.2%,68.2%
H4cker,2023,Spring,11W - 22L,33.3%,2.8,5,308,17.9%,72.9%
Haichao,2023,Spring,11W - 20L,35.5%,3.8,8.8,392,22.8%,58.6%
Hang,2023,Spring,28W - 11L,71.8%,4.1,1,252,13.4%,72.9%
Harder,2023,Spring,0W - 4L,0%,1.2,7.2,322,20.4%,72.4%
Heng,2023,Spring,19W - 21L,47.5%,2.9,4.8,324,17.8%,65.8%
Hery,2023,Spring,9W - 28L,24.3%,1.7,8.2,370,22.1%,55.3%
Hope,2023,Spring,19W - 21L,47.5%,3.7,9.1,438,24.1%,70.2%
Hoya,2023,Spring,18W - 18L,50%,2.7,7.7,369,20.8%,51%
Iwandy,2023,Spring,19W - 21L,47.5%,4.2,0.9,264,14.6%,81.4%
JackeyLove,2023,Spring,21W - 17L,55.3%,4.0,9.4,449,24.5%,67.6%
Jerry,2023,Spring,0W - 2L,0%,2.8,0.3,224,12.9%,94.1%
Jiejie,2023,Spring,28W - 11L,71.8%,4.2,5.2,337,18.2%,72.7%
Kanavi,2023,Spring,28W - 8L,77.8%,4.9,6.2,388,19.8%,71.8%
Karsa,2023,Spring,25W - 14L,64.1%,3.6,5.2,341,18.3%,69.6%
Knight,2023,Spring,28W - 8L,77.8%,6.3,8.8,435,22.2%,63.2%
LP,2023,Spring,28W - 11L,71.8%,5.4,9,449,23.8%,69.1%
Leave,2023,Spring,28W - 11L,71.8%,3.9,9.9,459,24.7%,62.8%
Lele,2023,Spring,4W - 11L,26.7%,3.1,0.5,222,13.1%,81.2%
Leyan,2023,Spring,15W - 25L,37.5%,2.3,5.7,345,19.5%,75.6%
Light,2023,Spring,25W - 14L,64.1%,6.1,9.8,459,24.6%,67.1%
Lpc,2023,Spring,13W - 25L,34.2%,2.7,9,401,23.3%,59.6%
Lwx,2023,Spring,13W - 26L,33.3%,3.1,9.8,432,24.9%,70.8%
Mark,2023,Spring,21W - 17L,55.3%,4.9,1,253,13.7%,72.5%
Meteor,2023,Spring,13W - 25L,34.2%,2.6,5.6,320,18.7%,70.3%
Ming,2023,Spring,16W - 15L,51.6%,3.9,0.9,248,13.8%,77.5%
Missing,2023,Spring,28W - 8L,77.8%,5.4,0.7,266,13.5%,71.7%
Ning,2023,Spring,9W - 28L,24.3%,1.6,5.2,303,18.2%,75.3%
ON,2023,Spring,25W - 17L,59.5%,3.4,1,252,13.6%,72.2%
Photic,2023,Spring,14W - 25L,35.9%,3.5,9.4,433,24.9%,67.9%
Pinz,2023,Spring,13W - 24L,35.1%,3.2,8.6,387,22.8%,70.7%
Pout,2023,Spring,7W - 10L,41.2%,3.3,8.1,369,20.9%,63.5%
Ppgod,2023,Spring,24W - 16L,60%,4.0,0.9,245,13.4%,77.3%
Qing,2023,Spring,8W - 20L,28.6%,1.8,8.2,369,21.9%,56.7%
Qingtian,2023,Spring,19W - 17L,52.8%,3.0,7.6,379,20.7%,48.7%
Qiuqiu,2023,Spring,9W - 15L,37.5%,3.3,0.9,232,13.3%,74.4%
Rich,2023,Spring,0W - 1L,0%,2.0,6.7,334,19.9%,50%
RooKie,2023,Spring,21W - 17L,55.3%,5.0,8.5,410,22.3%,65.1%
